genNum	maxFit	avgFit	bestPhrase
449	0.81818	0.80727	HGl,o world
450	0.81818	0.77591	HGl/o world
451	0.81818	0.77409	HGl,o world
452	0.81818	0.77727	HGl/o world
453	0.81818	0.80091	HGl/o world
454	0.81818	0.79091	HGl/o world
455	0.81818	0.79	HGl/o world
456	0.81818	0.78364	HGl/o world
457	0.81818	0.74	H@l,o world
458	0.81818	0.77727	HGl,o world
459	0.81818	0.75864	HGl/o world
460	0.81818	0.75864	HGl/o world
461	0.81818	0.77409	HGl,o world
462	0.81818	0.76455	HGl,o world
463	0.81818	0.74818	HGl,o world
464	0.81818	0.80318	HGl,o world
465	0.81818	0.79	HGl,o world
466	0.81818	0.80091	HGl,o world
467	0.81818	0.80591	HGl,o world
468	0.81818	0.80318	HGl,o world
469	0.81818	0.79182	HGl,o world
470	0.81818	0.77545	HGl,o world
471	0.81818	0.80955	HGl,o world
472	0.81818	0.80545	HGl,o world
473	0.81818	0.76409	HGl,o world
474	0.81818	0.73545	HGl,o world
475	0.90909	0.79227	Hel,o world
476	0.81818	0.78182	HGl/o world
477	0.81818	0.79045	HGl,o world
478	0.81818	0.78091	HGl,o world
479	0.81818	0.78364	HGl,o world
480	0.81818	0.80136	HGl,o world
481	0.81818	0.79455	HGl,o world
482	0.81818	0.78045	HGl,o world
483	0.81818	0.795	HGl,o world
484	0.81818	0.78545	HGl,o world
485	0.81818	0.78455	HGl*o world
486	0.81818	0.73773	HGl,o world
487	0.81818	0.71545	HGl*o world
488	0.81818	0.75636	HGl,o world
489	0.81818	0.77091	HGl/o world
490	0.81818	0.75773	HGl,o world
491	0.81818	0.77409	HGl,o world
492	0.81818	0.78091	HGl o world
493	0.81818	0.75409	HGl,o world
494	0.81818	0.75091	HGl,o world
495	0.81818	0.75727	HGl*o world
496	0.81818	0.76636	HGl,o world
497	0.81818	0.76636	HGl,o world
498	0.81818	0.79273	HGl,o world
499	0.81818	0.79227	HGl,o world
500	0.81818	0.76182	HGl\o world
501	0.81818	0.78091	HKl,o world
502	0.81818	0.75455	HKl\o world
503	0.81818	0.775	HGl*o world
504	0.81818	0.76818	HGl,o world
